ana,Dark,1,52
juan,The Office,3,22
pedro,The Boys,5,58
lucas,Breaking Bad,1,47
maria,Dark,2,49
sofia,The Office,5,21
diego,The Boys,1,60
carla,Stranger Things,2,51
martin,Dark,3,53
valentina,The Office,1,24
nicolas,Breaking Bad,2,46
julieta,The Boys,3,59
franco,Dark,4,50
camila,Stranger Things,1,55
tomas,The Office,6,23
agustina,The Boys,2,57
ezequiel,Breaking Bad,3,48
florencia,Dark,5,52
bruno,Stranger Things,4,54
paula,The Office,2,22
ana,Breaking Bad,4,45
juan,Dark,1,52
pedro,The Office,7,23
lucas,The Boys,4,56
maria,Stranger Things,2,50
sofia,Dark,3,53
diego,Breaking Bad,5,47
carla,The Office,1,22
martin,The Boys,2,58
valentina,Dark,4,51
nicolas,Stranger Things,3,52
julieta,Breaking Bad,1,46
franco,The Office,8,24
camila,Dark,2,50
tomas,The Boys,5,57
agustina,Stranger Things,1,54
ezequiel,Dark,6,52
florencia,Breaking Bad,2,47
bruno,The Office,4,23
paula,The Boys,1,60
ana,Stranger Things,3,53
juan,Breaking Bad,2,45
pedro,Dark,7,51
lucas,The Office,2,22
maria,The Boys,4,59
sofia,Stranger Things,5,55
diego,Dark,1,52
carla,Breaking Bad,3,46
martin,The Office,5,24
valentina,The Boys,2,58
nicolas,Dark,4,50
julieta,Stranger Things,1,54
franco,Breaking Bad,5,47
camila,The Office,6,23
tomas,Dark,3,52
agustina,The Boys,4,57
ezequiel,Stranger Things,2,55
florencia,The Office,1,22
bruno,Dark,5,51
paula,Breaking Bad,4,46
ana,The Boys,3,58
juan,Stranger Things,2,54
pedro,Breaking Bad,1,45
lucas,Dark,6,52
maria,The Office,3,23
sofia,The Boys,5,59
diego,Stranger Things,4,55
carla,Dark,2,50
martin,Breaking Bad,3,46
valentina,The Office,7,24
nicolas,The Boys,1,60
julieta,Dark,4,51
franco,Stranger Things,2,53
camila,Breaking Bad,5,47
tomas,The Office,2,22
agustina,Dark,3,52
ezequiel,The Boys,4,58
florencia,Stranger Things,1,54
bruno,Breaking Bad,2,46
paula,Dark,5,51
ana,The Office,8,24
juan,The Boys,2,57
pedro,Stranger Things,3,54
lucas,Breaking Bad,4,45
maria,Dark,1,52
sofia,The Office,5,23
diego,The Boys,3,59
carla,Stranger Things,2,55
martin,Dark,6,50
valentina,Breaking Bad,1,46
nicolas,The Office,4,22
julieta,The Boys,5,58
franco,Dark,2,53
camila,Stranger Things,3,54
tomas,Breaking Bad,2,47
agustina,The Office,1,23
ezequiel,Dark,4,51
florencia,The Boys,2,57
bruno,Stranger Things,5,55
paula,The Office,6,24
juan,Dark,dos,52
maria,The Boys,4,abc
solo,tres,columnas
,,,
pedro,Dark
ana,Dark,7,52
juan,Breaking Bad,3,46
pedro,The Boys,1,60
lucas,Stranger Things,4,53
maria,Breaking Bad,2,45
sofia,Dark,5,51
diego,The Office,3,22
carla,The Boys,4,58
martin,Stranger Things,1,54
valentina,Dark,2,50
nicolas,Breaking Bad,5,47
julieta,The Office,7,24
franco,The Boys,3,59
camila,Dark,1,52
tomas,Stranger Things,2,55
agustina,Breaking Bad,4,46
ezequiel,The Office,5,23
florencia,Dark,6,51
bruno,The Boys,2,58
paula,Stranger Things,3,54

